--------------------Report--------------------
[0]  master A: 2  master B: 2  master ALUControl: 0  master result: 2  slave result: 2      correct? 1
[2158]  master A: 4300  master B: 6432  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2159]  master A: 4302  master B: 6435  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2160]  master A: 4304  master B: 6438  master ALUControl: 0  master result: 4096  slave result: 4096      correct? 1
[2161]  master A: 4306  master B: 6441  master ALUControl: 1  master result: 2555  slave result: 2555      correct? 1
[2162]  master A: 4308  master B: 6444  master ALUControl: 2  master result: 4294965160  slave result: 4294965160      correct? 1
[2163]  master A: 4310  master B: 6447  master ALUControl: 3  master result: 4294965159  slave result: 10757      correct? 0
[2164]  master A: 4312  master B: 6450  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2165]  master A: 4314  master B: 6453  master ALUControl: 5  master result: 4294960640  slave result: 4294960640      correct? 1
[2166]  master A: 4316  master B: 6456  master ALUControl: 6  master result: 4294960640  slave result: 4294960640      correct? 1
[2167]  master A: 4318  master B: 6459  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2168]  master A: 4320  master B: 6462  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2169]  master A: 4322  master B: 6465  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2170]  master A: 4324  master B: 6468  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2171]  master A: 4326  master B: 6471  master ALUControl: 11  master result: 33  slave result: 33      correct? 1
[2172]  master A: 4328  master B: 6474  master ALUControl: 12  master result: 2466  slave result: 2466      correct? 1
[2173]  master A: 4330  master B: 6477  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2174]  master A: 4332  master B: 6480  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2175]  master A: 4334  master B: 6483  master ALUControl: 0  master result: 4162  slave result: 4162      correct? 1
[2176]  master A: 4336  master B: 6486  master ALUControl: 1  master result: 2470  slave result: 2470      correct? 1
[2177]  master A: 4338  master B: 6489  master ALUControl: 2  master result: 4294965145  slave result: 4294965145      correct? 1
[2178]  master A: 4340  master B: 6492  master ALUControl: 3  master result: 4294965144  slave result: 10832      correct? 0
[2179]  master A: 4342  master B: 6495  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2180]  master A: 4344  master B: 6498  master ALUControl: 5  master result: 4294960645  slave result: 4294960645      correct? 1
[2181]  master A: 4346  master B: 6501  master ALUControl: 6  master result: 4294960645  slave result: 4294960645      correct? 1
[2182]  master A: 4348  master B: 6504  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2183]  master A: 4350  master B: 6507  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2184]  master A: 4352  master B: 6510  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2185]  master A: 4354  master B: 6513  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2186]  master A: 4356  master B: 6516  master ALUControl: 11  master result: 17842176  slave result: 17842176      correct? 1
[2187]  master A: 4358  master B: 6519  master ALUControl: 12  master result: 2161  slave result: 2161      correct? 1
[2188]  master A: 4360  master B: 6522  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2189]  master A: 4362  master B: 6525  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2190]  master A: 4364  master B: 6528  master ALUControl: 0  master result: 4352  slave result: 4352      correct? 1
[2191]  master A: 4366  master B: 6531  master ALUControl: 1  master result: 2189  slave result: 2189      correct? 1
[2192]  master A: 4368  master B: 6534  master ALUControl: 2  master result: 4294965130  slave result: 4294965130      correct? 1
[2193]  master A: 4370  master B: 6537  master ALUControl: 3  master result: 4294965129  slave result: 10907      correct? 0
[2194]  master A: 4372  master B: 6540  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2195]  master A: 4374  master B: 6543  master ALUControl: 5  master result: 4294960736  slave result: 4294960736      correct? 1
[2196]  master A: 4376  master B: 6546  master ALUControl: 6  master result: 4294960736  slave result: 4294960736      correct? 1
[2197]  master A: 4378  master B: 6549  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2198]  master A: 4380  master B: 6552  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2199]  master A: 4382  master B: 6555  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2200]  master A: 4384  master B: 6558  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2201]  master A: 4386  master B: 6561  master ALUControl: 11  master result: 2193  slave result: 2193      correct? 1
[2202]  master A: 4388  master B: 6564  master ALUControl: 12  master result: 2176  slave result: 2176      correct? 1
[2203]  master A: 4390  master B: 6567  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2204]  master A: 4392  master B: 6570  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2205]  master A: 4394  master B: 6573  master ALUControl: 0  master result: 4392  slave result: 4392      correct? 1
[2206]  master A: 4396  master B: 6576  master ALUControl: 1  master result: 2204  slave result: 2204      correct? 1
[2207]  master A: 4398  master B: 6579  master ALUControl: 2  master result: 4294965115  slave result: 4294965115      correct? 1
[2208]  master A: 4400  master B: 6582  master ALUControl: 3  master result: 4294965114  slave result: 10982      correct? 0
[2209]  master A: 4402  master B: 6585  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2210]  master A: 4404  master B: 6588  master ALUControl: 5  master result: 4294960707  slave result: 4294960707      correct? 1
[2211]  master A: 4406  master B: 6591  master ALUControl: 6  master result: 4294960707  slave result: 4294960707      correct? 1
[2212]  master A: 4408  master B: 6594  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2213]  master A: 4410  master B: 6597  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2214]  master A: 4412  master B: 6600  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2215]  master A: 4414  master B: 6603  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2216]  master A: 4416  master B: 6606  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[2217]  master A: 4418  master B: 6609  master ALUControl: 12  master result: 2195  slave result: 2195      correct? 1
[2218]  master A: 4420  master B: 6612  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2219]  master A: 4422  master B: 6615  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2220]  master A: 4424  master B: 6618  master ALUControl: 0  master result: 4424  slave result: 4424      correct? 1
[2221]  master A: 4426  master B: 6621  master ALUControl: 1  master result: 2199  slave result: 2199      correct? 1
[2222]  master A: 4428  master B: 6624  master ALUControl: 2  master result: 4294965100  slave result: 4294965100      correct? 1
[2223]  master A: 4430  master B: 6627  master ALUControl: 3  master result: 4294965099  slave result: 11057      correct? 0
[2224]  master A: 4432  master B: 6630  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2225]  master A: 4434  master B: 6633  master ALUControl: 5  master result: 4294960644  slave result: 4294960644      correct? 1
[2226]  master A: 4436  master B: 6636  master ALUControl: 6  master result: 4294960644  slave result: 4294960644      correct? 1
[2227]  master A: 4438  master B: 6639  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2228]  master A: 4440  master B: 6642  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2229]  master A: 4442  master B: 6645  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2230]  master A: 4444  master B: 6648  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2231]  master A: 4446  master B: 6651  master ALUControl: 11  master result: 142272  slave result: 142272      correct? 1
[2232]  master A: 4448  master B: 6654  master ALUControl: 12  master result: 2206  slave result: 2206      correct? 1
[2233]  master A: 4450  master B: 6657  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2234]  master A: 4452  master B: 6660  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2235]  master A: 4454  master B: 6663  master ALUControl: 0  master result: 4102  slave result: 4102      correct? 1
[2236]  master A: 4456  master B: 6666  master ALUControl: 1  master result: 2914  slave result: 2914      correct? 1
[2237]  master A: 4458  master B: 6669  master ALUControl: 2  master result: 4294965085  slave result: 4294965085      correct? 1
[2238]  master A: 4460  master B: 6672  master ALUControl: 3  master result: 4294965084  slave result: 11132      correct? 0
[2239]  master A: 4462  master B: 6675  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2240]  master A: 4464  master B: 6678  master ALUControl: 5  master result: 4294960265  slave result: 4294960265      correct? 1
[2241]  master A: 4466  master B: 6681  master ALUControl: 6  master result: 4294960265  slave result: 4294960265      correct? 1
[2242]  master A: 4468  master B: 6684  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2243]  master A: 4470  master B: 6687  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2244]  master A: 4472  master B: 6690  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2245]  master A: 4474  master B: 6693  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2246]  master A: 4476  master B: 6696  master ALUControl: 11  master result: 2080374801  slave result: 2080374801      correct? 1
[2247]  master A: 4478  master B: 6699  master ALUControl: 12  master result: 2901  slave result: 2901      correct? 1
[2248]  master A: 4480  master B: 6702  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2249]  master A: 4482  master B: 6705  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2250]  master A: 4484  master B: 6708  master ALUControl: 0  master result: 4100  slave result: 4100      correct? 1
[2251]  master A: 4486  master B: 6711  master ALUControl: 1  master result: 2993  slave result: 2993      correct? 1
[2252]  master A: 4488  master B: 6714  master ALUControl: 2  master result: 4294965070  slave result: 4294965070      correct? 1
[2253]  master A: 4490  master B: 6717  master ALUControl: 3  master result: 4294965069  slave result: 11207      correct? 0
[2254]  master A: 4492  master B: 6720  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2255]  master A: 4494  master B: 6723  master ALUControl: 5  master result: 4294960176  slave result: 4294960176      correct? 1
[2256]  master A: 4496  master B: 6726  master ALUControl: 6  master result: 4294960176  slave result: 4294960176      correct? 1
[2257]  master A: 4498  master B: 6729  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2258]  master A: 4500  master B: 6732  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2259]  master A: 4502  master B: 6735  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2260]  master A: 4504  master B: 6738  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2261]  master A: 4506  master B: 6741  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[2262]  master A: 4508  master B: 6744  master ALUControl: 12  master result: 3012  slave result: 3012      correct? 1
[2263]  master A: 4510  master B: 6747  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2264]  master A: 4512  master B: 6750  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2265]  master A: 4514  master B: 6753  master ALUControl: 0  master result: 4128  slave result: 4128      correct? 1
[2266]  master A: 4516  master B: 6756  master ALUControl: 1  master result: 3008  slave result: 3008      correct? 1
[2267]  master A: 4518  master B: 6759  master ALUControl: 2  master result: 4294965055  slave result: 4294965055      correct? 1
[2268]  master A: 4520  master B: 6762  master ALUControl: 3  master result: 4294965054  slave result: 11282      correct? 0
[2269]  master A: 4522  master B: 6765  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2270]  master A: 4524  master B: 6768  master ALUControl: 5  master result: 4294960131  slave result: 4294960131      correct? 1
[2271]  master A: 4526  master B: 6771  master ALUControl: 6  master result: 4294960131  slave result: 4294960131      correct? 1
[2272]  master A: 4528  master B: 6774  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2273]  master A: 4530  master B: 6777  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2274]  master A: 4532  master B: 6780  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2275]  master A: 4534  master B: 6783  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2276]  master A: 4536  master B: 6786  master ALUControl: 11  master result: 1134  slave result: 1134      correct? 1
[2277]  master A: 4538  master B: 6789  master ALUControl: 12  master result: 2879  slave result: 2879      correct? 1
[2278]  master A: 4540  master B: 6792  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2279]  master A: 4542  master B: 6795  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2280]  master A: 4544  master B: 6798  master ALUControl: 0  master result: 4224  slave result: 4224      correct? 1
[2281]  master A: 4546  master B: 6801  master ALUControl: 1  master result: 2899  slave result: 2899      correct? 1
[2282]  master A: 4548  master B: 6804  master ALUControl: 2  master result: 4294965040  slave result: 4294965040      correct? 1
[2283]  master A: 4550  master B: 6807  master ALUControl: 3  master result: 4294965039  slave result: 11357      correct? 0
[2284]  master A: 4552  master B: 6810  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2285]  master A: 4554  master B: 6813  master ALUControl: 5  master result: 4294960160  slave result: 4294960160      correct? 1
[2286]  master A: 4556  master B: 6816  master ALUControl: 6  master result: 4294960160  slave result: 4294960160      correct? 1
[2287]  master A: 4558  master B: 6819  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2288]  master A: 4560  master B: 6822  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2289]  master A: 4562  master B: 6825  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2290]  master A: 4564  master B: 6828  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2291]  master A: 4566  master B: 6831  master ALUControl: 11  master result: 598474752  slave result: 598474752      correct? 1
[2292]  master A: 4568  master B: 6834  master ALUControl: 12  master result: 2922  slave result: 2922      correct? 1
[2293]  master A: 4570  master B: 6837  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2294]  master A: 4572  master B: 6840  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2295]  master A: 4574  master B: 6843  master ALUControl: 0  master result: 4250  slave result: 4250      correct? 1
[2296]  master A: 4576  master B: 6846  master ALUControl: 1  master result: 2910  slave result: 2910      correct? 1
[2297]  master A: 4578  master B: 6849  master ALUControl: 2  master result: 4294965025  slave result: 4294965025      correct? 1
[2298]  master A: 4580  master B: 6852  master ALUControl: 3  master result: 4294965024  slave result: 11432      correct? 0
[2299]  master A: 4582  master B: 6855  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2300]  master A: 4584  master B: 6858  master ALUControl: 5  master result: 4294960149  slave result: 4294960149      correct? 1
[2301]  master A: 4586  master B: 6861  master ALUControl: 6  master result: 4294960149  slave result: 4294960149      correct? 1
[2302]  master A: 4588  master B: 6864  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2303]  master A: 4590  master B: 6867  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2304]  master A: 4592  master B: 6870  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2305]  master A: 4594  master B: 6873  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2306]  master A: 4596  master B: 6876  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[2307]  master A: 4598  master B: 6879  master ALUControl: 12  master result: 2857  slave result: 2857      correct? 1
[2308]  master A: 4600  master B: 6882  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2309]  master A: 4602  master B: 6885  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2310]  master A: 4604  master B: 6888  master ALUControl: 0  master result: 4328  slave result: 4328      correct? 1
[2311]  master A: 4606  master B: 6891  master ALUControl: 1  master result: 2837  slave result: 2837      correct? 1
[2312]  master A: 4608  master B: 6894  master ALUControl: 2  master result: 4294965010  slave result: 4294965010      correct? 1
[2313]  master A: 4610  master B: 6897  master ALUControl: 3  master result: 4294965009  slave result: 11507      correct? 0
[2314]  master A: 4612  master B: 6900  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2315]  master A: 4614  master B: 6903  master ALUControl: 5  master result: 4294960392  slave result: 4294960392      correct? 1
[2316]  master A: 4616  master B: 6906  master ALUControl: 6  master result: 4294960392  slave result: 4294960392      correct? 1
[2317]  master A: 4618  master B: 6909  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2318]  master A: 4620  master B: 6912  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2319]  master A: 4622  master B: 6915  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2320]  master A: 4624  master B: 6918  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2321]  master A: 4626  master B: 6921  master ALUControl: 11  master result: 9  slave result: 9      correct? 1
[2322]  master A: 4628  master B: 6924  master ALUControl: 12  master result: 2328  slave result: 2328      correct? 1
[2323]  master A: 4630  master B: 6927  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2324]  master A: 4632  master B: 6930  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2325]  master A: 4634  master B: 6933  master ALUControl: 0  master result: 4624  slave result: 4624      correct? 1
[2326]  master A: 4636  master B: 6936  master ALUControl: 1  master result: 2308  slave result: 2308      correct? 1
[2327]  master A: 4638  master B: 6939  master ALUControl: 2  master result: 4294964995  slave result: 4294964995      correct? 1
[2328]  master A: 4640  master B: 6942  master ALUControl: 3  master result: 4294964994  slave result: 11582      correct? 0
[2329]  master A: 4642  master B: 6945  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2330]  master A: 4644  master B: 6948  master ALUControl: 5  master result: 4294960347  slave result: 4294960347      correct? 1
[2331]  master A: 4646  master B: 6951  master ALUControl: 6  master result: 4294960347  slave result: 4294960347      correct? 1
[2332]  master A: 4648  master B: 6954  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2333]  master A: 4650  master B: 6957  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2334]  master A: 4652  master B: 6960  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2335]  master A: 4654  master B: 6963  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2336]  master A: 4656  master B: 6966  master ALUControl: 11  master result: 4767744  slave result: 4767744      correct? 1
[2337]  master A: 4658  master B: 6969  master ALUControl: 12  master result: 2315  slave result: 2315      correct? 1
[2338]  master A: 4660  master B: 6972  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2339]  master A: 4662  master B: 6975  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2340]  master A: 4664  master B: 6978  master ALUControl: 0  master result: 4608  slave result: 4608      correct? 1
[2341]  master A: 4666  master B: 6981  master ALUControl: 1  master result: 2431  slave result: 2431      correct? 1
[2342]  master A: 4668  master B: 6984  master ALUControl: 2  master result: 4294964980  slave result: 4294964980      correct? 1
[2343]  master A: 4670  master B: 6987  master ALUControl: 3  master result: 4294964979  slave result: 11657      correct? 0
[2344]  master A: 4672  master B: 6990  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2345]  master A: 4674  master B: 6993  master ALUControl: 5  master result: 4294960300  slave result: 4294960300      correct? 1
[2346]  master A: 4676  master B: 6996  master ALUControl: 6  master result: 4294960300  slave result: 4294960300      correct? 1
[2347]  master A: 4678  master B: 6999  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2348]  master A: 4680  master B: 7002  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2349]  master A: 4682  master B: 7005  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2350]  master A: 4684  master B: 7008  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2351]  master A: 4686  master B: 7011  master ALUControl: 11  master result: 3221226057  slave result: 3221226057      correct? 1
[2352]  master A: 4688  master B: 7014  master ALUControl: 12  master result: 2358  slave result: 2358      correct? 1
[2353]  master A: 4690  master B: 7017  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2354]  master A: 4692  master B: 7020  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2355]  master A: 4694  master B: 7023  master ALUControl: 0  master result: 4678  slave result: 4678      correct? 1
[2356]  master A: 4696  master B: 7026  master ALUControl: 1  master result: 2346  slave result: 2346      correct? 1
[2357]  master A: 4698  master B: 7029  master ALUControl: 2  master result: 4294964965  slave result: 4294964965      correct? 1
[2358]  master A: 4700  master B: 7032  master ALUControl: 3  master result: 4294964964  slave result: 11732      correct? 0
[2359]  master A: 4702  master B: 7035  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2360]  master A: 4704  master B: 7038  master ALUControl: 5  master result: 4294960257  slave result: 4294960257      correct? 1
[2361]  master A: 4706  master B: 7041  master ALUControl: 6  master result: 4294960257  slave result: 4294960257      correct? 1
[2362]  master A: 4708  master B: 7044  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2363]  master A: 4710  master B: 7047  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2364]  master A: 4712  master B: 7050  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2365]  master A: 4714  master B: 7053  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2366]  master A: 4716  master B: 7056  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[2367]  master A: 4718  master B: 7059  master ALUControl: 12  master result: 2557  slave result: 2557      correct? 1
[2368]  master A: 4720  master B: 7062  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2369]  master A: 4722  master B: 7065  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2370]  master A: 4724  master B: 7068  master ALUControl: 0  master result: 4628  slave result: 4628      correct? 1
[2371]  master A: 4726  master B: 7071  master ALUControl: 1  master result: 2537  slave result: 2537      correct? 1
[2372]  master A: 4728  master B: 7074  master ALUControl: 2  master result: 4294964950  slave result: 4294964950      correct? 1
[2373]  master A: 4730  master B: 7077  master ALUControl: 3  master result: 4294964949  slave result: 11807      correct? 0
[2374]  master A: 4732  master B: 7080  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2375]  master A: 4734  master B: 7083  master ALUControl: 5  master result: 4294960128  slave result: 4294960128      correct? 1
[2376]  master A: 4736  master B: 7086  master ALUControl: 6  master result: 4294960128  slave result: 4294960128      correct? 1
[2377]  master A: 4738  master B: 7089  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2378]  master A: 4740  master B: 7092  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2379]  master A: 4742  master B: 7095  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2380]  master A: 4744  master B: 7098  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2381]  master A: 4746  master B: 7101  master ALUControl: 11  master result: 37968  slave result: 37968      correct? 1
[2382]  master A: 4748  master B: 7104  master ALUControl: 12  master result: 2380  slave result: 2380      correct? 1
[2383]  master A: 4750  master B: 7107  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2384]  master A: 4752  master B: 7110  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2385]  master A: 4754  master B: 7113  master ALUControl: 0  master result: 4736  slave result: 4736      correct? 1
[2386]  master A: 4756  master B: 7116  master ALUControl: 1  master result: 2392  slave result: 2392      correct? 1
[2387]  master A: 4758  master B: 7119  master ALUControl: 2  master result: 4294964935  slave result: 4294964935      correct? 1
[2388]  master A: 4760  master B: 7122  master ALUControl: 3  master result: 4294964934  slave result: 11882      correct? 0
[2389]  master A: 4762  master B: 7125  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2390]  master A: 4764  master B: 7128  master ALUControl: 5  master result: 4294960163  slave result: 4294960163      correct? 1
[2391]  master A: 4766  master B: 7131  master ALUControl: 6  master result: 4294960163  slave result: 4294960163      correct? 1
[2392]  master A: 4768  master B: 7134  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2393]  master A: 4770  master B: 7137  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2394]  master A: 4772  master B: 7140  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2395]  master A: 4774  master B: 7143  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2396]  master A: 4776  master B: 7146  master ALUControl: 11  master result: 2852126724  slave result: 2852126724      correct? 1
[2397]  master A: 4778  master B: 7149  master ALUControl: 12  master result: 2375  slave result: 2375      correct? 1
[2398]  master A: 4780  master B: 7152  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2399]  master A: 4782  master B: 7155  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2400]  master A: 4784  master B: 7158  master ALUControl: 0  master result: 4784  slave result: 4784      correct? 1
[2401]  master A: 4786  master B: 7161  master ALUControl: 1  master result: 2379  slave result: 2379      correct? 1
[2402]  master A: 4788  master B: 7164  master ALUControl: 2  master result: 4294964920  slave result: 4294964920      correct? 1
[2403]  master A: 4790  master B: 7167  master ALUControl: 3  master result: 4294964919  slave result: 11957      correct? 0
[2404]  master A: 4792  master B: 7170  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2405]  master A: 4794  master B: 7173  master ALUControl: 5  master result: 4294959424  slave result: 4294959424      correct? 1
[2406]  master A: 4796  master B: 7176  master ALUControl: 6  master result: 4294959424  slave result: 4294959424      correct? 1
[2407]  master A: 4798  master B: 7179  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2408]  master A: 4800  master B: 7182  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2409]  master A: 4802  master B: 7185  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2410]  master A: 4804  master B: 7188  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2411]  master A: 4806  master B: 7191  master ALUControl: 11  master result: 0  slave result: 0      correct? 1
[2412]  master A: 4808  master B: 7194  master ALUControl: 12  master result: 3794  slave result: 3794      correct? 1
[2413]  master A: 4810  master B: 7197  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2414]  master A: 4812  master B: 7200  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2415]  master A: 4814  master B: 7203  master ALUControl: 0  master result: 4098  slave result: 4098      correct? 1
[2416]  master A: 4816  master B: 7206  master ALUControl: 1  master result: 3830  slave result: 3830      correct? 1
[2417]  master A: 4818  master B: 7209  master ALUControl: 2  master result: 4294964905  slave result: 4294964905      correct? 1
[2418]  master A: 4820  master B: 7212  master ALUControl: 3  master result: 4294964904  slave result: 12032      correct? 0
[2419]  master A: 4822  master B: 7215  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2420]  master A: 4824  master B: 7218  master ALUControl: 5  master result: 4294959365  slave result: 4294959365      correct? 1
[2421]  master A: 4826  master B: 7221  master ALUControl: 6  master result: 4294959365  slave result: 4294959365      correct? 1
[2422]  master A: 4828  master B: 7224  master ALUControl: 7  master result: 0  slave result: 0      correct? 1
[2423]  master A: 4830  master B: 7227  master ALUControl: 8  master result: 0  slave result: 0      correct? 1
[2424]  master A: 4832  master B: 7230  master ALUControl: 9  master result: 0  slave result: 0      correct? 1
[2425]  master A: 4834  master B: 7233  master ALUControl: 10  master result: 0  slave result: 0      correct? 1
[2426]  master A: 4836  master B: 7236  master ALUControl: 11  master result: 302  slave result: 302      correct? 1
[2427]  master A: 4838  master B: 7239  master ALUControl: 12  master result: 3745  slave result: 3745      correct? 1
[2428]  master A: 4840  master B: 7242  master ALUControl: 13  master result: 1  slave result: 1      correct? 1
[2429]  master A: 4842  master B: 7245  master ALUControl: 14  master result: 1  slave result: 1      correct? 1
[2430]  master A: 4844  master B: 7248  master ALUControl: 0  master result: 4160  slave result: 4160      correct? 1
[2431]  master A: 4846  master B: 7251  master ALUControl: 1  master result: 3773  slave result: 3773      correct? 1
[2432]  master A: 4848  master B: 7254  master ALUControl: 2  master result: 4294964890  slave result: 4294964890      correct? 1
[2433]  master A: 4850  master B: 7257  master ALUControl: 3  master result: 4294964889  slave result: 12107      correct? 0
[2434]  master A: 4852  master B: 7260  master ALUControl: 4  master result: 1  slave result: 1      correct? 1
[2435]  master A: 4854  master B: 7263  master ALUControl: 5  master result: 4294959360  slave result: 4294959360      correct? 1
